Player,Free Agent Year,Age,Actual AAV % Cap,Predicted AAV % Cap,Difference,Absolute Difference,Contract Evaluation,Predicted Future VORP,Future VORP Percentile,Future Production Rank,Future Production Tier,Future VORP per 1% Cap,Cap Efficiency Rank,Notes
Jeremy Sochan,2026,22.0,0.0159,0.03244894887639859,0.01654894887639859,0.01654894887639859,Fair Value,0.32424580818764676,57.5,46,Average,0.2039281812500923,21,
Keon Ellis,2026,26.0,0.0546,0.0711741327392518,0.016574132739251797,0.016574132739251797,Fair Value,0.4961846673453699,69.8,33,Average,0.0908763127006172,52,
Pat Spencer,2026,29.0,0.0,0.01739691121133972,0.01739691121133972,0.01739691121133972,Fair Value,0.1836067092100528,39.6,65,Average,inf,1,
Javonte Green,2026,32.0,0.0239,0.04131163756342609,0.017411637563426088,0.017411637563426088,Fair Value,0.7587695381664973,82.1,20,Above Average,0.31747679421192354,15,
Kenrich Williams,2026,31.0,0.030299999999999997,0.04856782906337869,0.018267829063378694,0.018267829063378694,Fair Value,0.3184626275567925,55.7,48,Average,0.10510317741148267,45,
Thomas Bryant,2026,28.0,0.021400000000000002,0.0408014005613673,0.0194014005613673,0.0194014005613673,Fair Value,0.360799515806398,60.4,43,Average,0.16859790458242896,27,
Tyus Jones,2026,29.0,0.0235,0.04328457799814578,0.01978457799814578,0.01978457799814578,Fair Value,0.2192372653099958,44.3,60,Average,0.09329245332340246,49,
Marvin Bagley III,2026,26.0,0.0213,0.04150506449326349,0.020205064493263487,0.020205064493263487,Underpaid,0.7693798385023098,84.0,18,Above Average,0.361211191785122,12,
Luke Kennard,2026,29.0,0.0377,0.058694202869990414,0.020994202869990417,0.020994202869990417,Underpaid,0.7617326135415023,83.0,19,Above Average,0.20205109112506695,22,
Simone Fontecchio,2026,30.0,0.0159,0.03766318574339206,0.021763185743392057,0.021763185743392057,Underpaid,0.28425816275768045,51.9,52,Average,0.17877871871552228,26,
Caleb Love,2026,24.0,0.0040999999999999995,0.02606916725845007,0.02196916725845007,0.02196916725845007,Underpaid,0.05550694571840126,28.3,77,Below Average,0.13538279443512505,39,
Koby Brea,2026,23.0,0.0040999999999999995,0.02687514767118028,0.02277514767118028,0.02277514767118028,Underpaid,0.30170879311430265,53.8,50,Average,0.7358751051568359,6,
